Office_Nam,District,District_old,cityblock,Address,Latitude,Longitude,print,Pricepre,Price,Avg_HousePrice,weibo_count,center_dis,center_FID,Subway_Dispre,Subway_Dis,busstation_Countpre,busstation_Count,bank_Countpre,bank_Count,shopping_Count,food_Countpre,food_Count,Residential_Count,firm_Count,education_Count,空间多样性,基础服务多样性,基础服务内容,企业服务多样性,企业服务内容,写字楼面积,写字楼电梯数量
SOHO3Q-银河3Q I,1,东城,朝阳门,小牌坊胡同甲7号,39.926193,116.438682,15,9.574468085,1500,"83,720.38",427,0.027331762,3,14.1084836,582.31,20.75471698,33,41.26984127,26,79,43.65682138,"1,552",95,2,0,5,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,2,投融资服务 运营服务,328204,18
雷格斯（世纪财富中心）,3,朝阳,CBD,光华路5号,39.91270683,116.450614,45,41.4893617,4500,"81,560.57",549,0.02632183,3,13.93585721,575.24,23.27044025,37,80.95238095,51,111,48.49507736,"1,724",59,3,0,11,20,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 茶水间 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,141986,17
世鳌商务中心（亿利生态）,3,朝阳,CBD,光华路15号,39.91281347,116.4642865,17,11.70212766,1700,"79,230.43",670,0.028011335,3,19.00355264,782.79,21.3836478,34,33.33333333,21,50,35.66807314,"1,268",111,1,10,3,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
WeWork（慈云寺）,3,朝阳,四惠,东四环中路56号,39.91336086,116.4854335,32,27.65957447,3200,"66,502.89",793,0.040538425,3,17.1937835,708.67,32.70440252,52,17.46031746,11,39,24.52883263,872,65,2,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,230000,18
OK Space （远洋国际中心）,3,朝阳,四惠,东四环中路56号,39.91339686,116.4852985,10,4.255319149,1000,"66,713.05",797,0.040410807,3,17.45601934,719.41,37.10691824,59,17.46031746,11,39,24.52883263,872,65,5,0,6,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,0, ,230000,18
E园超级办公室（华声国际）,3,朝阳,朝外,雅宝路8号,39.91346447,116.4300412,16,10.63829787,1600,"102,915.15",175,0.013726494,7,15.27706901,630.17,8.176100629,13,42.85714286,27,53,17.6652602,628,79,0,1,5,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 饮用水,0, ,46000,7
FUNWORK?北京?澳门中心,1,东城,王府井,金鱼胡同王府井东街8号(近新东安百货),39.91349383,116.407046,13,7.446808511,1300,"109,870.24",1176,0.008522565,2,5.417831549,226.38,23.27044025,37,41.26984127,26,399,83.03797468,"2,952",108,0,6,5,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,13000,3
米域 MIXPACE（万科时代中心 ）,3,朝阳,十里堡,甲3号院,39.91375867,116.4967542,18,12.76595745,1800,"63,640.95",732,0.043397174,1,19.75729755,813.66,41.50943396,66,9.523809524,6,136,22.70042194,807,92,1,1,6,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
乐乎联合办公（住总大厦）,3,朝阳,CBD,东三环中路25号,39.91377779,116.4542922,12,6.382978723,1200,"83,528.54",419,0.025049439,3,5.132155632,214.68,50.31446541,80,76.19047619,48,65,31.02672293,"1,103",34,3,0,3,14,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 茶水间 休闲区 中央空调 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,20000,4
氪空间（慈云寺）,3,朝阳,四惠,半亩桥街48号,39.91388086,116.4890355,16,10.63829787,1600,"64,575.66",792,0.043097174,3,15.3881652,634.72,44.02515723,70,22.22222222,14,39,24.7257384,879,51,2,0,24,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,180000,5
紫荆花科技孵化园（紫荆花孵化园）,4,海淀,万寿路,万寿路翠微中里14号3层,39.91409884,116.2895248,12,6.382978723,1200,"90,812.38",374,0.07770192,5,19.16567982,789.43,10.06289308,16,9.523809524,6,19,8.748241913,311,61,1,0,1,13,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 休闲区 中央空调 冰箱 卫生间配套 办公清洁,0, ,5000,0
柚子胡同（莱锦文化创业园）,3,朝阳,八里庄,八里庄东里1号,39.91419586,116.4918955,21,15.95744681,2100,"63,992.50",862,0.045283474,1,17.14592668,706.71,43.39622642,69,19.04761905,12,128,22.64416315,805,66,2,0,2,21,前台接见 办公家具 复印打印 办公宽带 WIFI 会议室 洽谈室 视频远程会议 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点 饮用水,0, ,99000,3
WeWork（淘汇新天）,1,东城,王府井,王府井大街219号,39.91436083,116.404605,25,20.21276596,2500,"112,876.65",959,0.010094801,6,1.175910439,52.65,22.64150943,36,33.33333333,21,345,75.75246132,"2,693",100,0,0,15,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, , ,0
优客工场（王府井世纪大厦）,1,东城,其他,东安门大街55号,39.91440237,116.4013273,18,12.76595745,1800,"113,714.70",852,0.008042221,6,8.50191061,352.69,20.75471698,33,19.04761905,12,309,67.0323488,"2,383",86,0,1,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,55000,6
E园共享办公,3,朝阳,永安里,东二环雅宝路7号,39.91445547,116.4305852,25,20.21276596,2500,"102,809.79",184,0.014390641,7,17.81592216,734.15,8.176100629,13,44.44444444,28,48,17.6371308,627,132,0,1,6,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
世鳌商务中心（中海广场）,3,朝阳,国贸,北京朝阳区光华路东里8号,39.91460279,116.4537042,24,19.14893617,2400,"83,146.71",467,0.024221923,3,5.130690628,214.62,36.47798742,58,69.84126984,44,70,35.55555556,"1,264",35,3,0,2,23,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 免费咖,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,151000,12
世鳌商务中心（京汇大厦）,3,朝阳,国贸,朝阳区区建国路乙118号,39.91460279,116.4537042,19,13.82978723,1900,"83,146.71",467,0.024221923,3,5.130690628,214.62,36.47798742,58,69.84126984,44,70,35.55555556,"1,264",35,3,0,7,24,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 茶点,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,41000,4
紫荆花科技孵化器（计世传媒大厦）,4,海淀,万寿路,翠微北里14号院,39.91467413,116.2936173,12,6.382978723,1200,"91,794.03",531,0.07367241,5,18.56673707,764.9,16.35220126,26,12.6984127,8,74,17.89029536,636,65,2,1,5,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
WeWork（光华路）,3,朝阳,国贸,金桐西路10号,39.91471783,116.448251,28,23.40425532,2800,"81,891.07",686,0.024756933,3,18.14530405,747.64,15.09433962,24,63.49206349,40,136,78.2278481,"2,781",81,2,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,212946,32
Distrii办伴－慈云寺远洋国际办公空间,3,朝阳,四惠,北京市朝阳区东四环中路56号,39.91473886,116.4854885,19,13.82978723,1900,"66,034.38",782,0.039731086,3,19.97924577,822.75,38.36477987,61,19.04761905,12,32,23.5161744,836,59,3,0,24,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,88000,18
梦想加（天阶大厦）,3,朝阳,CBD,光华路9号-2号楼,39.91483983,116.446615,33,28.72340426,3300,"81,960.51",662,0.025063241,3,16.87490081,695.61,15.09433962,24,52.38095238,33,117,73.02390999,"2,596",84,2,1,9,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,211200,26
E园超级办公室（万邦大厦）,3,朝阳,朝外,北京市朝阳区外交部南街10号,39.91529647,116.4305512,14,8.510638298,1400,"103,072.85",177,0.014513551,7,19.71432408,811.9,8.176100629,13,50.79365079,32,62,18.53727145,659,162,0,1,2,20,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 咖啡厅 茶水间 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 免费咖啡 饮用水,0, , ,1
世服宏图（财富金融中心）,3,朝阳,CBD,东三环中路7号,39.91609583,116.452165,50,46.80851064,5000,"80,757.91",584,0.022793537,3,8.676734505,359.85,42.7672956,68,90.47619048,57,103,49.78902954,"1,770",39,1,0,5,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 健身设施 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,176000,40
世服宏图（华贸中心）,3,朝阳,大望路,建国路79号,39.91609583,116.452165,20,14.89361702,2000,"80,757.91",584,0.022793537,3,8.676734505,359.85,42.7672956,68,90.47619048,57,103,49.78902954,"1,770",39,1,0,5,22,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 健身设施 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 茶点 免费咖啡 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,100000,12
FUNWORK?北京?中骏世界城,3,朝阳,朝外,金汇路10号,39.91620383,116.445611,12,6.382978723,1200,"82,927.56",656,0.02408763,3,13.3298336,550.42,22.64150943,36,49.20634921,31,130,71.22362869,"2,532",108,2,1,1,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,120000,0
雷格斯（卓著中心）,2,西城,金融街,武定侯街6号,39.91663516,116.3556825,70,68.08510638,7000,"114,429.18",324,0.025539735,5,19.53168683,804.42,12.57861635,20,100,63,78,20.84388186,741,39,1,1,5,19,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,34882,8
星库空间（菁英谷）,3,朝阳,高碑店,朝阳路35号太平庄北社区,39.91672551,116.5345934,15,9.574468085,1500,"51,176.08",203,0.041292781,1,29.34868333,1206.48,13.83647799,22,3.174603175,2,19,6.610407876,235,37,0,1,3,21,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,0, ,20000,0
艾克商务中心（环球金融中心）,3,朝阳,CBD,东三环中路1号环球金融中心,39.91738579,116.4534192,47,43.61702128,4700,"77,961.76",469,0.021443379,3,7.263737471,301.98,50.31446541,80,57.14285714,36,82,38.48101266,"1,368",59,2,1,3,10,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅,0, ,252098,20
桉树IBC（侨福芳草地大厦）,3,朝阳,CBD,东大桥路9号,39.91765883,116.443669,36,31.91489362,3600,"82,647.67",627,0.023503899,3,10.74483281,444.55,28.93081761,46,41.26984127,26,217,73.81153305,"2,624",124,1,1,21,12,前台接见 办公家具 办公宽带 WIFI 会议室 洽谈室 视频远程会议 茶水间 休闲区 冰箱 卫生间配套 办公清洁,3,法律咨询 财税代理 营销推荐,87000,18
氪空间（兆泰国际中心）,1,东城,朝阳门,朝阳门外二条56号,39.91774642,116.4305452,17,11.70212766,1700,"100,836.11",289,0.015221587,7,14.03840754,579.44,13.83647799,22,34.92063492,22,97,28.91701828,"1,028",157,0,0,31,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,360000,5
we office（华业国际中心）,3,朝阳,红庙,东四环中路39号,39.91799046,116.482031,12,6.382978723,1200,"69,822.18",386,0.035013601,3,25.93790822,1066.79,20.12578616,32,4.761904762,3,21,13.86779184,493,74,3,3,20,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,82592,4
we office（华业国际中心）,3,朝阳,红庙,东四环中路39号,39.91799046,116.482031,12,6.382978723,1200,"69,822.18",386,0.035013601,3,25.93790822,1066.79,20.12578616,32,4.761904762,3,21,13.86779184,493,74,3,3,20,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,82592,4
E园超级办公室（日坛国际贸易中心）,3,朝阳,朝外,日坛北路17号,39.91812505,116.4351297,14,8.510638298,1400,"100,585.25",549,0.019672344,7,20.40824798,840.32,0.628930818,1,26.98412698,17,113,53.02390999,"1,885",192,0,0,2,20,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 多功能厅 咖啡厅 茶水间 休闲区 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 免费咖啡 饮用水,0, ,380000,3
创富港（万通中心）,3,朝阳,CBD,朝阳门外大街甲6号,39.91826549,116.450917,21,15.95744681,2100,"79,264.15",635,0.020772363,3,13.49342579,557.12,42.7672956,68,58.73015873,37,99,57.49648383,"2,044",84,0,1,5,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,200000,7
创富港（皇城国际大厦）,3,朝阳,和平街,和平里中街,39.91826905,116.4367357,10,4.255319149,1000,"99,467.87",533,0.021249792,7,22.89118678,942.01,8.805031447,14,22.22222222,14,115,52.40506329,"1,863",200,0,0,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,96683.38,11
雷格斯（侨福芳草地大厦）,3,朝阳,CBD,东大桥路9号,39.91830149,116.442699,70,68.08510638,7000,"83,175.65",610,0.023375455,3,10.66596672,441.32,23.27044025,37,34.92063492,22,194,75.18987342,"2,673",132,1,1,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,87000,18
梦想加（常营龙湖一展）,3,朝阳,常营,朝阳北路东十里堡路交汇处南50米,39.91868733,116.4959056,16,10.63829787,1600,"64,674.37",461,0.03938954,1,7.629744479,316.97,30.18867925,48,9.523809524,6,133,16.14627286,574,82,3,3,8,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,460000,4
你的空间（银河SOHO）,1,东城,朝阳门,小牌坊胡同甲7号,39.91897542,116.4266222,18,12.76595745,1800,"101,653.75",190,0.012290953,7,10.8664282,449.53,12.57861635,20,25.3968254,16,48,14.03656821,499,130,1,1,3,15,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 中央空调 微波炉 冰箱 卫生间配套 办公清洁,4,公司年检 法律咨询 财税代理 人事代理,328204,18
雷格斯（泰康金融大厦）,3,朝阳,呼家楼,东三环北路38号院1号,39.91898144,116.4570383,60,57.44680851,6000,"79,466.10",317,0.020090769,3,7.611187753,316.21,39.62264151,63,33.33333333,21,48,21.7721519,774,105,3,4,6,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,67000,15
裸心社（东大桥）,3,朝阳,东大桥,东大桥路6号,39.91918549,116.445731,38,34.04255319,3800,"82,002.98",703,0.021265944,3,6.071467813,253.15,40.88050314,65,46.03174603,29,225,79.52180028,"2,827",118,0,2,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,22000,0
世鳌商务中心（悠唐国际）,3,朝阳,朝外,三丰北里1号,39.92003305,116.4340627,15,9.574468085,1500,"101,058.78",643,0.01934951,7,15.69435119,647.26,21.3836478,34,38.0952381,24,122,66.10407876,"2,350",177,0,0,5,23,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 免费咖,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,34006,4
创富港（北京INN）,1,东城,朝阳门,南竹竿胡同6号,39.92040042,116.4254492,14,8.510638298,1400,"102,840.57",204,0.012238066,7,9.629720062,398.88,14.46540881,23,31.74603175,20,45,14.59915612,519,114,0,1,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,19741.61,6
方糖小镇（隐源钓鱼台）,2,西城,阜成门,阜成门外大街甲40号,39.92043033,116.3315841,12,6.382978723,1200,"110,798.82",120,0.037143291,5,8.054107507,334.35,30.18867925,48,23.80952381,15,19,10.604782,377,99,0,2,11,11,前台接见 复印打印 办公宽带 WIFI 会议室 休闲区 自动售卖机 卫生间配套 办公清洁 茶点 饮用水,4,公司年检 法律咨询 投融资服务 营销推荐, ,0
梦想加（朝外MEN）,3,朝阳,朝外,北京市朝阳国贸,39.92065205,116.4353747,18,12.76595745,1800,"100,580.30",650,0.020799829,7,17.9753635,740.68,16.35220126,26,42.85714286,27,129,67.70745429,"2,407",187,0,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,110000,11
智客空间（北京INN）,1,东城,朝阳门,南竹竿胡同6号,39.92101242,116.4263152,25,20.21276596,2500,"102,371.65",211,0.013291447,7,7.072066023,294.13,14.46540881,23,36.50793651,23,43,13.83966245,492,97,0,1,6,17,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 中央空调 空气净化器 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,19741.61,6
骏一孵化器（青年汇）,3,朝阳,朝青板块,甘露园中里青年汇小区,39.92115626,116.5077173,6,0,600,"64,149.68",560,0.032782635,1,9.210728718,381.72,15.09433962,24,7.936507937,5,57,32.26441632,"1,147",73,0,0,4,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,320000,0
创富港（中认大厦）,3,朝阳,朝外,朝阳门外大街甲10号,39.92117505,116.4412327,17,11.70212766,1700,"92,319.48",645,0.021718487,3,10.40495172,430.63,35.22012579,56,33.33333333,21,160,68.49507736,"2,435",146,0,2,3,18,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 咖啡厅 休闲区 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清洁 饮用水,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问, ,0
能+空间（金泰国益大厦）,3,朝阳,朝青板块,朝阳区朝阳北路103号,39.92240726,116.5106033,23,18.08510638,2300,"64,006.67",715,0.031020555,1,2.168939459,93.32,21.3836478,34,22.22222222,14,143,38.45288326,"1,367",81,0,0,2,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,0, ,30183,6
雷格斯（中国人寿大厦）,3,朝阳,朝外,北京市朝阳区朝阳门外大街16号,39.92242805,116.4339127,40,36.17021277,4000,"100,349.67",672,0.019233685,4,13.42774475,554.43,17.61006289,28,44.44444444,28,106,64.78199719,"2,303",168,0,1,8,25,前台接见 办公家具 复印打印 传真 办公宽带 WIFI 会议室 洽谈室 视频远程会议 多功能厅 咖啡厅 茶水间 书吧 休闲区 健身设施 中央空调 空气净化器 自动售卖机 微波炉 冰箱 卫生间配套 办公清,13,公司年检 法律咨询 财税代理 人事代理 人力招聘 投融资服务 运营服务 营销推荐 商务聚会 宣传设计 政策申请 创业辅导 政策顾问,115800,14
